,amenity,name,name:en,name:ne,website,latitude,longitude,id,emergency,healthcare,opening_hours,addr:city,addr:street,operator,phone,religion,addr:country,addr:postcode,addr:state,contact:email,description,fax,toilets:wheelchair,wheelchair,email,building_count,capacity:beds,facility:icu,facility:operating_theatre,facility:ventilator,facility:x-ray,opd:patients:count,operator:type,personnel:count,source,management_type,internet_access,addr:housenumber,name:ko,healthcare:speciality,mobile,location
22,hospital,तारिनी स्वास्थ्य केन्द्र,Tarini Health Center,तारिनी स्वास्थ्य केन्द्र,,27.7049515,85.3084222,2857869822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,hospital,नेत्रधाम आँखा सेवा केन्द्र,Netradham Eye care center,नेत्रधाम आँखा सेवा केन्द्र,,27.6873782,85.3164579,3047240296,,,,,,,015551345,,,,,,,,,,netradham.nepal@gmail.com,,,,,,,,,,,,wlan,,,,,
24,hospital,,,,,27.7174587,85.3475795,3074585332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,hospital,नेपाल न्यासनल अस्पताल,Nepal National Hospital,नेपाल न्यासनल अस्पताल,,27.6947253,85.2821685,3640853145,,hospital,,,,Nepal National Hospital,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,
26,hospital,सिटी अस्पताल,City Hospital,सिटी अस्पताल,,27.6909765,85.3246923,4132097725,,,,,,XYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,hospital,काठमाडौं मेडिकल कलेज,Kathmandu Medical College,काठमाडौं मेडिकल कलेज,,27.7015906,85.3275905,4132510093,,,24/7,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,
28,hospital,Bhaktapur Hospital Emergency Block,,,,27.6720774,85.4220862,4225138790,,,,,Dudhpati,,,,,44800,,,,,,,,,,,,,,,,,,,,,,,,
29,hospital,मध्यपुर अस्पताल,Madhyapur Hospital,मध्यपुर अस्पताल,,27.6725806,85.3879984,4243043791,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,hospital,Family Hospital,,,,27.6179750,85.3196166,4264064753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,hospital,संजीवनी हेल्थ केयर सेन्टर,Sanjeevani Health Care Center,संजीवनी हेल्थ केयर सेन्टर,,27.6755499,85.3520244,4393701590,,,24/7,,Arniko Raj Marga,,+9779841245023,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,hospital,चाइना हस्पिटल (पी) लिमिटेड,China Hospital (P) Ltd.,चाइना हस्पिटल (पी) लिमिटेड,,27.7204629,85.3622164,4537066892,,,Mo-Su 09:00-17:00,,,,01-4482275,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,hospital,निदान अस्पताल प्रा.लि.,Nidan Hospital PVT. LTD.,निदान अस्पताल प्रा.लि.,http://www.nidanhospital.com,27.6773339,85.3217511,4579894969,,,,Lalitpur,,,977-1-5531333,,NP,,,,,,,,drsbikram@gmail.com,,,,,,,,,,,,,,,,,
34,hospital,,Nepal A.P.F. Hospital,,,27.6903149,85.2520150,4592039989,,,24/7,,Tribhuvan Rajpath,,014315224,,,,,,,,,,apfhospital@gmail.com,,,,,,,,,,,,,,,,,
35,hospital,अल्का अस्पताल प्रा. लि.,Alka Hospital Pvt. Ltd.,अल्का अस्पताल प्रा. लि.,,27.6698644,85.3096819,4599786089,,,24/7,,Ekata Tole,,015555555,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,
36,hospital,कपन अस्पताल,Kapan Hospital,कपन अस्पताल,https://www.karunahospital.com.np/,27.7347534,85.3602424,4611193689,,hospital,,,Chunikhel Marg,,015128201,,,,,,,,,,info@karunahospital.com.np,,,,,,,,,,,,,,,,,
37,hospital,पीपुल्स डेंटल कलेज र अस्पताल,Peoples Dental College & Hospital,पीपुल्स डेंटल कलेज र अस्पताल,,27.7190481,85.3090847,4615993995,,,,,Ropeway Sadak,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,
38,hospital,ओम समाज अस्पताल,Om Samaj Hospital,ओम समाज अस्पताल,,27.6863982,85.2591226,4648504195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,
39,hospital,स्वाकोन इन्टरनेशनल अस्पताल प्रा. लि.,Swacon International Hospital Private Limited,स्वाकोन अन्तराष्ट्रिय अस्पताल प्रा. लि.,,27.7042102,85.3364085,4748269321,,hospital,,,,,+977 1-4462960,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,hospital,,Self Help Group For Cerebral Palsy Nepal,,https://www.cpnepal.org/,27.6213032,85.3283959,4765971343,,,Mo-Fr 10:00-17:00,,Dhapakhel,,015573966,,,,,,,,,,sgcp@cpnepal.org,,,,,,,,,,,,wlan,,,,,
41,hospital,प्रस्तावित इशान महिला तथा बालबालिका अस्पताल,Proposed Ishan Women and Children Hospital,प्रस्तावित इशान महिला तथा बालबालिका अस्पताल,,27.7445649,85.3335285,4795380222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,hospital,पेडिअट्रिक्स,Pediatrics,पेडिअट्रिक्स,,27.7365875,85.3306265,4795380223,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,hospital,ग्रान्डी सिटी अस्पताल,Grande City Hospital,ग्रान्डी सिटी अस्पताल,,27.7110160,85.3147438,4810801975,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,
44,hospital,हाम्रो सहयात्री अस्पताल,Hamro Sahayatri Hospital,हाम्रो सहयात्री अस्पताल,,27.6760051,85.3535501,4928572762,,hospital,,,Thimi-Biruwa Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,hospital,आयुर्वेदिक,Aayurvedic,आयुर्वेदिक,,27.6684119,85.2752829,5043184624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,hospital,हिमालय उपचार केन्द्र,Himalaya Healing Centre,हिमालय उपचार केन्द्र,,27.7291945,85.3706839,5068560173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,hospital,नेपाल मनमिन अस्पताल,Nepal Manmin Hospital,नेपाल मनमिन अस्पताल,,27.6630188,85.3336444,5068574573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,hospital,मानसिक शरण,Mental Asylum,मानसिक शरण,,27.6830328,85.3115909,5239936321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,hospital,,Let Me in,,http://let-mein.com,27.6891653,85.3324587,5308645122,,,Su-Fr 10:00-19:00,,Madan Bhandari Path,,0147801210,,,,,,,,,,letmein.np@gmail.com,,,,,,,,,,,,,10,렛미인,,,
50,hospital,,Ayushya Health Home (Pvt) Ltd,,,27.6045871,85.3610239,5308740822,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,
51,hospital,बिनायक अस्पताल,Binayak Hospital,बिनायक अस्पताल,,27.7350965,85.3130213,5358434921,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,hospital,टेकु अस्पताल,Teku Hospital,टेकु अस्पताल,,27.6946731,85.3064884,5568194823,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,hospital,सुरुची होम केयर,Suruchi Home Care,सुरुची होम केयर,,27.6937636,85.3377249,5715696859,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,hospital,दक्षिण एसियाली पोलिक्लिनिक तथा निदान केन्द्र,South Asian Polyclinic and Diagnostic Centre,दक्षिण एसियाली पोलिक्लिनिक तथा निदान केन्द्र,,27.7390611,85.3261844,5961692307,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,hospital,मरिई स्टोप्स नेपाल,Marie Stopes Nepal,मरिई स्टोप्स नेपाल,,27.7348093,85.3174374,5961692317,,,,,,,,,,,,,,,limited,no,,,,,,,,,,,,,,,,,,
56,hospital,वेलनेस हस्पिटल प्रा. लि.,Wellness Hospital Pvt. Ltd.,वेलनेस हस्पिटल प्रा. लि.,,27.7424351,85.3378586,5966565996,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,
57,hospital,ह्वावे अन्तर्राष्ट्रिय अस्पताल,Huawei International Hospital,ह्वावे अन्तर्राष्ट्रिय अस्पताल,,27.7130487,85.3452849,6043144295,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,hospital,काठमाडौं सिटी अस्पताल,Kathmandu City Hospital,काठमाडौं सिटी अस्पताल,,27.6990905,85.2810043,6048829086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,hospital,आरोग्य स्वस्थ्य सदन,Aarogya Swasthya Sadan,आरोग्य स्वस्थ्य सदन,,27.6736946,85.3118401,6052315070,,hospital,,,,,,,,,,,,,no,limited,,,,,,,,,,,,,,,,,,
60,hospital,अस्तङ्गा आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र प्रा. लि,Astanga Ayurveda Hospital and Research Center Private Limited,अस्तङ्गा आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र प्रा. लि,,27.6926261,85.2827749,6053557886,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,hospital,मध्यपुर अस्पताल ठिमी,Madhyapur Hospital Thimi,मध्यपुर अस्पताल ठिमी,,27.6722536,85.3881738,6065425312,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,hospital,युनिभर्सल डेन्टल अस्पताल,Universal Dental Hospital,युनिभर्सल डेन्टल अस्पताल,,27.6990484,85.2800080,6119458394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,hospital,महेन्द्र नारायण निधि मेमोरियल अस्पताल,Mahendra Narayan Nidhi Memorial Hospital,महेन्द्र नारायण निधि मेमोरियल अस्पताल,,27.7375473,85.3253255,6212383987,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,hospital,,72,,,27.6736601,85.3507095,6393788405,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,hospital,,,,,27.7176724,85.3110858,6474357289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,hospital,नर्भिक अन्तर्राष्ट्रिय स्वास्थ्य मूल्यांकन केन्द्र,Norvic international centre for health evaluation,नर्भिक अन्तर्राष्ट्रिय स्वास्थ्य मूल्यांकन केन्द्र,https://www.norvichospital.com/,27.6893068,85.3200625,6578542186,,,,,Prasuti Griha Marg,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,
67,hospital,Family Beauty Parlour and Therapy Centre Pvt. Ltd.,,,,27.7118011,85.3096796,6794555925,no,hospital,,Kathmandu,J.P. Road,Therapist,+977 9860469177,,,4600,,,,,,,,,,,,,,,private,,,,,,,dermatology;traditional_chinese_medicine;chinese_medicine;dermatologist,,
68,hospital,गणेश मान सिंह मेमोरियल अस्पताल तथा अनुसन्धान केन्द्र,Ganesh Maan Singh Memorial Hospital and Research Center,गणेश मान सिंह मेमोरियल अस्पताल र अनुसन्धान केन्द्र,,27.6614719,85.3188818,7076752191,,,,,,,015530855,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,hospital,स्टार अस्पताल,Star Hospital,स्टार अस्पताल,,27.6816645,85.3028341,7081616685,,hospital,,,"Sanepa Height ,Ring Road",,015550197,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,hospital,अन्नपूर्ण न्यूरोलोजिकल इन्स्टिच्युट तथा एलाइड साइन्स,Annapurna Neurological Institute and Allied Sciences,अन्नपूर्ण न्यूरोलोजिकल इन्स्टिच्युट तथा एलाइड साइन्स,,27.6948191,85.3215837,7308290736,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,hospital,नेचर केयर अस्पताल,Nature Care Hospital,नेचर केयर अस्पताल,,27.6887830,85.3341445,7786124691,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,hospital,मैत्री सामुदायिक अस्पताल,Friendship Community Hospital,मैत्री सामुदायिक अस्पताल,,27.7268923,85.3451431,7812122485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,hospital,टेस्ला डायग्नोस्टिक सेन्टर र फार्मेसी,Tesla Diagnostic Centre and Pharmacy,टेस्ला डायग्नोस्टिक सेन्टर र फार्मेसी,,27.7268113,85.3306804,7817067188,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,hospital,मेट्रो अस्पताल,Metro Hospital,मेट्रो अस्पताल,,27.7398634,85.3371465,8023127285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,hospital,करुणा अस्पताल,Karuna Hospital,करुणा अस्पताल,https://www.karunahospital.com.np/,27.7512928,85.3624523,8109802122,,,,,Chunikhel Marg,,015128201,,,,,,,,,,info@karunahospital.com.np,,,,,,,,,,,,,,,,,
76,hospital,नागरिक सामुदायिक शिक्षण अस्पताल,Nagarik Community Teaching Hospital,नागरिक सामुदायिक शिक्षण अस्पताल,,27.6735853,85.3749053,8173061117,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,hospital,Cutis Care,,,,27.6952816,85.3376710,8190684073,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,hospital,प्रसुती गृह,Prasuti Griha,प्रसुती गृह,,27.6894511,85.3187788,8401828236,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,hospital,सम्पदा फार्मा/क्लिनिक,Sampada Pharmacy and Clinic,सम्पदा फार्मा/क्लिनिक,,27.6881267,85.2864354,8832647902,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,hospital,भिजन पोलिक्लिनिक,Vision Polyclinic,भिजन पोलिक्लिनिक,,27.6754331,85.3448619,9056740817,,,,,,,015100930,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,hospital,समाज डेन्टल,Samaj Dental,समाज डेन्टल,,27.6910912,85.3369386,9213713419,yes,hospital,,Kathmandu,Bibhuti Janak Marg,Samaj Dental,,,,,,,,,,,,,,,,,,,private,,,,yes,,,dental_oral_maxillo_facial_surgery,,
82,hospital,काठमाडौं जीवन ज्योति अस्पताल,Kathmandu Jeevan Jyoti hospital,काठमाडौं जीवन ज्योति अस्पताल,,27.7181627,85.3489721,9526113217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,hospital,All Nepal Hospital,,,,27.7359758,85.3175665,9528649020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,hospital,अव्युदय स्वास्थ्य सेवा केन्द्र,Avyudaya Swasthya Sewa Kendra,अव्युदय स्वास्थ्य सेवा केन्द्र,,27.6615740,85.3698829,9611991113,yes,hospital,,Anantalingeshwor,Balkot-Biruwa Road,,016638577,,,44600,,,,,,,,,,,,,,,,,,,,,,general,,
85,hospital,सूर्यविनायक नगरपालिका हस्पिटल,Suryabinayak Municipality Hospital,सूर्यविनायक नगरपालिका हस्पिटल,,27.6565102,85.3919380,9614642353,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,hospital,ब्रोदर हेल्थ केयर एण्ड डाइग्नोस्टिक सेन्टर,Brothers Health Care and Diagnostic Center,भाइ स्वास्थ्य सेवा तथा निदान केन्द्र,,27.6697309,85.3855616,9614642371,,hospital,,Anantalingeshwar,thimi-Biruwa Rd,,9840011873,,,,,,,,,,,,,,,,,,,,,,,,,general,,
87,hospital,Patan Healthcare,,,,27.5992721,85.3243261,9622703382,,hospital,,Chapagaun,Satdobato — Tikabhairab,,,,,44700,,,,,,,,,,,,,,,,,,,,,,general,,
88,hospital,Sahari Swasthya Kendra,,,,27.6860977,85.2392771,9627135231,,hospital,,Chandragiri,Tribhuvan Rajpath,,,,,44600,,,,,,,,,,,,,,,,,,,,,,,,
89,hospital,कीर्तिपुर सामुदायिक स्वास्थ्य केन्द्र,Kirtipur Samudayik Swastha Kendra,कीर्तिपुर सामुदायिक स्वास्थ्य केन्द्र,,27.6734889,85.2812827,9648136847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,hospital,कीर्तिपुर आँखा अस्पताल र अनुसन्धान केन्द्र,Kirtipur Eye Hospital and research centre,कीर्तिपुर आँखा अस्पताल र अनुसन्धान केन्द्र,,27.6767736,85.2841802,9662478422,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,hospital,"वत्सल्या प्राकृतिक आईवीएफ, फर्टिलिटी क्लिनिक","Vatsalya Natural IVF, Fertility Clinic","वत्सल्या प्राकृतिक आईवीएफ, फर्टिलिटी क्लिनिक",http://www.vatsalya.com.np/,27.7155843,85.3252763,9719638257,,,"Mo-Fr, Su 09:30-16:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,hospital,DI Skin Hospital And Referral Center(DISHARC),DI Skin Hospital And Referral Center(DISHARC),डि स्किन अस्पताल र रेफरल सेन्टर (डिसहर्क),,27.7502369,85.3451950,9845843806,,hospital,,Kathmandu,Golphutar Sadak,,,,,44607,,,,,,,,,,,,,,,,,,,,Golfutar,,dermatology;internal_medicine,,
93,hospital,रिदम न्यूरोसाइकियाट्री अस्पताल र अनुसन्धान केन्द्र,Rhythm Neuropsychiatry Hospital & Research Center,रिदम न्यूरोसाइकियाट्री अस्पताल र अनुसन्धान केन्द्र,,27.6694472,85.3098021,9914381748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,hospital,सोमलता पतंजलि आयुर्वेद केन्द्र प्रा.लि,Somtala Patanjali Ayurvedic Center Pvt.Ltd,सोमलता पतंजलि आयुर्वेद केन्द्र प्रा.लि,,27.7056935,85.3229192,9916636691,,hospital,,,,,+977 9860469177,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,hospital,दिर्घजीवन स्वास्थ्य सेवा तथा अनुसन्धान केन्द्र प्रा. लि,Dirgajiwan Health Care And Research Center Pvt.Ltd,दिर्घजीवन स्वास्थ्य सेवा तथा अनुसन्धान केन्द्र प्रा. लि,,27.6934255,85.3146971,9926734918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,hospital,समता अस्पताल,Samata Hospital,समता अस्पताल,,27.7164886,85.3572093,9933907318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,hospital,एपेक्स पोलिक्लिनिक एण्ड डाइगोनोस्टिक सेन्टर प्रा. लि,Apex Policlinic and Dygonostic Center Pvt.Ltd,एपेक्स पोलिक्लिनिक एण्ड डाइगोनोस्टिक सेन्टर प्रा. लि,,27.6750042,85.3527456,9956485661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,hospital,काठमाडौँ न्यूरो एण्ड जनरल अस्पताल,Kathamandu Neuro and General Hospital,काठमाडौँ न्यूरो एण्ड जनरल अस्पताल,www.kathamanduneuro.com.np,27.7059560,85.3180007,9956505746,,,,,,,"014233733,4233899",,,,,,,,,,,,,,,,,,,,,,,,,,,
99,hospital,एड्भान्स ओरल डेन्टल अस्पताल,Advance Oral Dental Hospital,एड्भान्स ओरल डेन्टल अस्पताल,,27.6778355,85.3473240,9967126985,,,,,,,"014600202,4600723",,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hospital,काठमाडौं ईएनटी हस्पिटल प्रा. लि,Kathmandu Ent Hospital Pvt.Ltd,काठमाडौं ईएनटी हस्पिटल प्रा. लि,,27.7033226,85.3184414,9969484880,,,,,,,014245554;4226730,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,hospital,अल नेपाल अस्पताल,All Nepal Hospital,अल नेपाल अस्पताल,,27.7359482,85.3177058,10007887784,yes,hospital,,,,,"01-4989905, 0989906, 4953031",,,,,,,,,,,,,,,,,,,,,,,,,,,
102,hospital,आयानस अस्पताल,Aayansh Hospital,आयानस अस्पताल,,27.7635470,85.3306848,10009815103,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,hospital,टोखा चन्देश्वरी अस्पताल,Tokha Chandeshwori Hospital,टोखा चन्देश्वरी अस्पताल,,27.7701596,85.3295466,10013199477,,hospital,,,Golphutar Sadak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,hospital,नेपाल अाखा अस्पताल,Nepal Aakha Hospital,नेपाल अाखा अस्पताल,,27.7687021,85.3301942,10013199480,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,hospital,इशान बाल तथा महिला अस्पताल,Ishan Children and Women's Hospital,इशान बाल तथा महिला अस्पताल,,27.7481329,85.3369164,10016451848,,hospital,,,,,"01-4959560, 01-5910947, 01-5910948",,,,,,,,,,,,,,,,,,,,,,,,,,,
106,hospital,क्रिस्टल डेन्टल अस्पताल,Crystal Dental Hospital,क्रिस्टल दन्त अस्पताल,,27.6741089,85.3748745,10023832445,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hospital,नेपाल कोरिया मैत्री अस्पताल,Nepal Korea Friendship Hospital,नेपाल कोरिया मैत्री अस्पताल,,27.6736997,85.3795337,10024492600,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,hospital,एनआरएन स्वास्थ्य सेवा प्रा. लि.,NRN Health Care Pvt.Ltd.,एनआरएन स्वास्थ्य सेवा प्रा. लि.,,27.6898674,85.3826788,10050423448,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,hospital,कान्तिपुर अस्पताल,Kantipur Hospital,कान्तिपुर अस्पताल,,27.6858800,85.3452223,10121388641,,hospital,,,,,014111627;014111858,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,
110,hospital,Pics Nepal,,,,27.6830415,85.3473448,10121417227,,,,,,,015199735,,,,,,,,,,,,,,,,,,,,,,,,,,9851225495,
111,hospital,कल्पना स्वास्थ्य सेवा केन्द्र,kalpana health  care center,कल्पना स्वास्थ्य सेवा केन्द्र,,27.7670427,85.3006201,10154815006,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,hospital,अलिफ स्वास्थ सेवा केन्द्र,ALIF SWASTHYA SEWA KENDRA,अलिफ स्वास्थ सेवा केन्द्र,http://www.alifphama.com.np,27.7616933,85.3178150,10198512117,,hospital,24/7,,,,9851339786,,,,,,,,,,alifpharmacy11@gmail.com,,,,,,,,,,,,wlan,,,,,
